2026-02-21 12:24:22,227 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-21 12:24:22,228 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     Listening on TCP address 0.0.0.0:8000
127.0.0.1:39736 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39744 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39750 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39758 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39774 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39784 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39792 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39808 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39814 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39830 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39846 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39862 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39864 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39880 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39886 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39888 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39894 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39902 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39912 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39918 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39934 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39940 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39948 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39962 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39978 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39994 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40012 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:39998 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40026 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40042 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40050 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40054 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40064 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40072 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40076 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40092 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40100 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40114 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40130 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40146 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40160 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40172 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40174 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40188 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40202 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40218 - - [21/Feb/2026:12:24:37] "POST /api/update/" 200 34
127.0.0.1:40226 - - [21/Feb/2026:12:24:38] "POST /api/update/" 200 34
net.ipv4.ip_forward = 1
2e:3b:70:fa:c3:bf 2e:3b:70:fa:c3:bf d2:49:a3:2c:90:63 0806 42: arp reply 192.168.1.1 is-at bc:51:5f:24:da:e3 0806 42: arp reply 192.168.1.20 is-at 2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf 2e:3b:70:fa:c3:bf d2:49:a3:2c:90:63 0806 42: arp reply 192.168.1.1 is-at bc:51:5f:24:da:e3 0806 42: arp reply 192.168.1.20 is-at 2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf 2e:3b:70:fa:c3:bf bc:51:5f:24:da:e3 0806 42: arp reply 192.168.1.20 is-at d2:49:a3:2c:90:63 0806 42: arp reply 192.168.1.1 is-at 2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf
127.0.0.1:40242 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40266 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40254 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40274 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40276 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40286 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40298 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40310 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40318 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40330 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:40332 - - [21/Feb/2026:12:24:39] "POST /api/update/" 200 34
127.0.0.1:42584 - - [21/Feb/2026:12:24:40] "POST /api/network/spoof/start/" 200 47
127.0.0.1:40346 - - [21/Feb/2026:12:24:40] "POST /api/update/" 200 34
127.0.0.1:40350 - - [21/Feb/2026:12:24:41] "POST /api/update/" 200 34
127.0.0.1:40366 - - [21/Feb/2026:12:24:41] "POST /api/update/" 200 34
127.0.0.1:40352 - - [21/Feb/2026:12:24:41] "POST /api/update/" 200 34
127.0.0.1:40380 - - [21/Feb/2026:12:24:41] "POST /api/update/" 200 34
127.0.0.1:40394 - - [21/Feb/2026:12:24:41] "POST /api/update/" 200 34
127.0.0.1:40408 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40424 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40428 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40438 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40442 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40456 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40472 - - [21/Feb/2026:12:24:42] "POST /api/update/" 200 34
127.0.0.1:40474 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40478 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40480 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40492 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40506 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40516 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40532 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
127.0.0.1:40544 - - [21/Feb/2026:12:24:43] "POST /api/update/" 200 34
